FedEx Express U.S. Package Standard List Rates: FedEx First Overnight®										
"Effective 2/28/2011"										

Weight	Zone 2	Zone 3	Zone 4	Zone 5	Zone 6	Zone 7	Zone 8	Zone 9-10	Zone 11-12	Zone 13-16
104	$206.96 	$282.88 	$433.68 	$464.88 	$504.40 	$524.16 	$542.88 	$551.20 	$566.80 	$431.60 
105	$208.95 	$285.60 	$437.85 	$469.35 	$509.25 	$529.20 	$548.10 	$556.50 	$572.25 	$435.75 
106	$210.94 	$288.32 	$442.02 	$473.82 	$514.10 	$534.24 	$553.32 	$561.80 	$577.70 	$439.90 
107	$212.93 	$291.04 	$446.19 	$478.29 	$518.95 	$539.28 	$558.54 	$567.10 	$583.15 	$444.05 
108	$214.92 	$293.76 	$450.36 	$482.76 	$523.80 	$544.32 	$563.76 	$572.40 	$588.60 	$448.20 
109	$216.91 	$296.48 	$454.53 	$487.23 	$528.65 	$549.36 	$568.98 	$577.70 	$594.05 	$452.35 
110	$218.90 	$299.20 	$458.70 	$491.70 	$533.50 	$554.40 	$574.20 	$583.00 	$599.50 	$456.50 
111	$220.89 	$301.92 	$462.87 	$496.17 	$538.35 	$559.44 	$579.42 	$588.30 	$604.95 	$460.65 
112	$222.88 	$304.64 	$467.04 	$500.64 	$543.20 	$564.48 	$584.64 	$593.60 	$610.40 	$464.80 
113	$224.87 	$307.36 	$471.21 	$505.11 	$548.05 	$569.52 	$589.86 	$598.90 	$615.85 	$468.95 
114	$226.86 	$310.08 	$475.38 	$509.58 	$552.90 	$574.56 	$595.08 	$604.20 	$621.30 	$473.10 
115	$228.85 	$312.80 	$479.55 	$514.05 	$557.75 	$579.60 	$600.30 	$609.50 	$626.75 	$477.25 
116	$230.84 	$315.52 	$483.72 	$518.52 	$562.60 	$584.64 	$605.52 	$614.80 	$632.20 	$481.40 
117	$232.83 	$318.24 	$487.89 	$522.99 	$567.45 	$589.68 	$610.74 	$620.10 	$637.65 	$485.55 
118	$234.82 	$320.96 	$492.06 	$527.46 	$572.30 	$594.72 	$615.96 	$625.40 	$643.10 	$489.70 
